Requirement,AC,Test Case,Test Type,Priority,Test File,Production File
FR-005,AC-005-01,CC-01,positive,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-ii.js
FR-005,AC-005-01,CC-02,negative,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-ii.js
FR-005,AC-005-01,CC-03,negative,P1,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-ii.js
FR-005,AC-005-02,CC-04,positive,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-iii.js
FR-005,AC-005-02,CC-05,negative,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-iii.js
FR-005,AC-005-02,CC-06,positive,P1,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-iii.js
FR-005,AC-005-03,CC-07,positive,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-v.js
FR-005,AC-005-03,CC-08,negative,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-v.js
FR-005,AC-005-03,CC-09,positive,P1,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-v.js
FR-005,AC-005-04,CC-10,positive,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-vii.js
FR-005,AC-005-04,CC-11,negative,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-vii.js
FR-005,AC-005-04,CC-12,negative,P1,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-vii.js
FR-005,AC-005-05,CC-13,positive,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-viii.js
FR-005,AC-005-05,CC-14,positive,P1,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-viii.js
FR-005,AC-005-05,CC-15,negative,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-viii.js
FR-005,AC-005-06,CC-16,positive,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-ix.js
FR-005,AC-005-06,CC-17,negative,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-ix.js
FR-005,AC-005-06,CC-18,positive,P1,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-ix.js
FR-005,AC-005-07,CC-19,positive,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-x.js
FR-005,AC-005-07,CC-20,negative,P0,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-x.js
FR-005,AC-005-07,CC-21,positive,P1,constitutional-checks.test.js,src/core/validators/constitutional-checks/article-x.js
FR-005,AC-005-08,CV-01,positive,P0,constitutional-validator.test.js,src/core/validators/constitutional-validator.js
FR-005,AC-005-08,CV-02,negative,P0,constitutional-validator.test.js,src/core/validators/constitutional-validator.js
FR-005,AC-005-08,CV-03,negative,P0,constitutional-validator.test.js,src/core/validators/constitutional-validator.js
FR-005,AC-005-08,CV-04,positive,P0,constitutional-validator.test.js,src/core/validators/constitutional-validator.js
FR-005,AC-005-08,CV-05,positive,P1,constitutional-validator.test.js,src/core/validators/constitutional-validator.js
FR-005,AC-005-08,CV-08,positive,P1,constitutional-validator.test.js,src/core/validators/constitutional-validator.js
FR-005,AC-005-08,CV-09,positive,P1,constitutional-validator.test.js,src/core/validators/constitutional-validator.js
FR-005,AC-005-08,CV-10,positive,P1,constitutional-validator.test.js,src/core/validators/constitutional-validator.js
FR-005,AC-005-09,CV-06,positive,P0,constitutional-validator.test.js,src/core/validators/constitutional-validator.js
FR-005,AC-005-09,CV-07,positive,P0,constitutional-validator.test.js,src/core/validators/constitutional-validator.js
FR-006,AC-006-01,CPV-01,positive,P2,coverage-presence-validator.test.js,src/core/validators/coverage-presence-validator.js
FR-006,AC-006-02,CPV-01,positive,P2,coverage-presence-validator.test.js,src/core/validators/coverage-presence-validator.js
FR-006,AC-006-03,CPV-01,positive,P1,coverage-presence-validator.test.js,src/core/validators/coverage-presence-validator.js
FR-006,AC-006-03,CPV-02,negative,P1,coverage-presence-validator.test.js,src/core/validators/coverage-presence-validator.js
FR-007,AC-007-01,VP-01,positive,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-01,VP-02,positive,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-01,VP-03,positive,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-02,VP-04,positive,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-03,VP-05,positive,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-04,VP-06,positive,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-04,VP-07,negative,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-04,VP-08,positive,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-04,VP-09,positive,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-04,VP-10,positive,P1,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-05,VP-01,positive,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-05,VP-02,positive,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-007,AC-007-05,VP-03,positive,P0,validate-phase.test.js,src/core/validators/validate-phase.js
FR-008,AC-008-01,GLT-01,positive,P0,gate-logic-traceability.test.js,src/core/validators/gate-logic.js
FR-008,AC-008-01,GLT-02,negative,P0,gate-logic-traceability.test.js,src/core/validators/gate-logic.js
FR-008,AC-008-02,GLT-04,positive,P0,gate-logic-traceability.test.js,src/core/bridge/validators.cjs
FR-008,AC-008-03,GLT-03,positive,P1,gate-logic-traceability.test.js,src/core/validators/gate-logic.js
FR-008,AC-008-03,GLT-05,positive,P0,gate-logic-traceability.test.js,src/core/validators/gate-logic.js
FR-008,AC-008-04,GLT-02,negative,P0,gate-logic-traceability.test.js,src/core/validators/gate-logic.js
FR-008,AC-008-04,GLT-06,negative,P0,gate-logic-traceability.test.js,src/core/validators/gate-logic.js
FR-008,AC-008-05,GLT-06,negative,P0,gate-logic-traceability.test.js,src/core/validators/gate-logic.js
FR-009,AC-009-01,RVG-01,positive,P0,runtime-validate-gate.test.js,src/providers/codex/runtime.js
FR-009,AC-009-01,RVG-06,positive,P0,runtime-validate-gate.test.js,src/providers/codex/runtime.js
FR-009,AC-009-02,RVG-01,positive,P0,runtime-validate-gate.test.js,src/providers/codex/runtime.js
FR-009,AC-009-03,RVG-02,negative,P0,runtime-validate-gate.test.js,src/providers/codex/runtime.js
FR-009,AC-009-04,RVG-04,positive,P0,runtime-validate-gate.test.js,src/providers/codex/runtime.js
FR-009,AC-009-05,RVG-03,positive,P0,runtime-validate-gate.test.js,src/providers/codex/runtime.js
FR-009,AC-009-05,RVG-05,positive,P0,runtime-validate-gate.test.js,src/providers/codex/runtime.js
FR-010,AC-010-01,TIP-10,positive,P0,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-010,AC-010-02,TIV-11,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-010,AC-010-02,TIV-13,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-011,AC-011-01,TIP-05,positive,P0,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-011,AC-011-01,TIP-06,negative,P0,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-011,AC-011-01,TIP-07,positive,P1,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-011,AC-011-01,TIP-08,positive,P1,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-011,AC-011-02,TIP-01,positive,P0,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-011,AC-011-02,TIP-02,negative,P0,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-011,AC-011-02,TIP-03,negative,P1,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-011,AC-011-02,TIP-04,positive,P1,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-011,AC-011-03,TIP-09,positive,P0,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-011,AC-011-03,TIP-10,positive,P0,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-011,AC-011-03,TIP-11,positive,P1,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-011,AC-011-03,TIP-12,positive,P1,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
